source,question,correct_answer,answer_option_2,answer_option_3,answer_option_4,answer_option_5,explanation
xAP Psychology Practice Test 7 Language _ Cognition.txt,"After suffering a brain injury in a car accident, Russell cannot form new memories. He can,  however, remember his life experiences before the accident. Russell's memory problem  most clearly illustrates _________________.",Encoding failure,Repression,Retroactive interference,Source amnesia,Intentional forgetting,"Encoding failure refers to the brain's occasional inability to  create a memory link. This happens for a number of reasons, with trauma being the most  common cause. An encoding failure prevents the brain from creating and storing new  memories."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"On the first day of her new job, Jess is introduced to eight new coworkers. Moments later,  she can only remember the names of the first three and last two coworkers. Her  experience illustrates what memory-based psychological concept?",Serial position effect,Overwhelmed encoding,Source amnesia,The spacing effect,The next-in-line effect,The serial position effect is the tendency of a person to recall  the first and last items in a series more easily than the middle items in a series.
xAP Psychology Practice Test 7 Language _ Cognition.txt,"In attempting to find and purchase high-quality makeup products, Carla reminds herself  that the most expensive brands are the best. Carla's self-reminder illustrates the use of ______________.",A heuristic,An algorithm,Cognitive dissonance,The framing effect,Functional fixedness,"A heuristic is a mental shortcut that helps us make decisions  and judgments quickly and efficiently. However, the efficiency of a heuristic comes at a  cost as they are also prone to errors."
xAP Psychology Practice Test 7 Language _ Cognition.txt,What is the highest need on Maslow's hierarchy?,Esteem Needs,Belongingness needs,Physiological needs,Safety and security,Self-actualization,"Overextension is the usage of a categorical term, like ""doggie,""  to describe everything similar to the object being described. In this case, Sophia is  extending the concept of ""dog"" to include animals that do not fit in the ""dog"" category."
xAP Psychology Practice Test 7 Language _ Cognition.txt,What are phonemes?,The smallest structural units of sound in speech,Gaps between speech sounds that indicate word boundaries,Measurement units of acoustic energy,Syllables,The smallest meaningful units of sound in speech,"Maslow's hierarchy of needs from lowest to highest (base to top of pyramid): physiological, safety, love and belonging, esteem, and finally  self-actualization."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"Who developed the hypothesis of linguistic determinism? That is, that language patterns  play a dominant role in shaping a person's thoughts and behavior.",Whorf,Freud,Gardner,Somerville,Sternberg,"Phonemes are the smallest structural units of sound, regardless  of meaning. Morphemes, on the other hand, are the smallest meaningful units of sound."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"A robin is judged to be a better example of a bird than some others, a parrot or flamingo,  for example. Therefore, a robin would be considered a(n) _______ of birds.",Representative heuristic,Ideal,Imprint,Prototype,Reciprocal,The Whorf hypothesis holds that language patterns play a  dominant role in shaping thoughts and behavior.
xAP Psychology Practice Test 7 Language _ Cognition.txt,"On Monday, the meteorologist forecast a 20% chance of rain, so Jose took his umbrella to  work. On Wednesday, the meteorologist reported an 80% chance of sunshine, so Jose left  his umbrella at home. Jose's behavior illustrates what psychological concept?",Framing effect,Belief perseverance,Confirmation bias,Overconfidence,Representative heuristic,A robin is considered the prototypical bird because it possesses  most features that are held by most birds.
xAP Psychology Practice Test 7 Language _ Cognition.txt,The correlation between scores obtained on two halves of a single test yields information  about the test's ______________________.,Reliability,Central tendency of scores,Frequency distribution of scores,Standard error of measurement,Validity,"Changes in the framing of a scenario can influence decisions. In  this case, Jose responded favorably to both forecasts, but his decision was different based  on the framing of the forecast. The chance of rain is the same in both forecasts, but  because of the wording used by the meteorologist, Jose decided differently in each case.  This is an example of the framing effect."
xAP Psychology Practice Test 7 Language _ Cognition.txt,Which linguist is most closely associated with the concept of universal grammar? He  famously challenged behaviorist accounts of language acquisition.,Lorenz,Broca,Chomsky,Wernicke,Whorf,"Reliability is a measure of the ability to replicate the test in  subsequent administrations. Reliability is often determined by a correlation coefficient.  The closer the correlation coefficient is to ?1 or 1, the more reliable the test is."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"In order to determine if someone has just said ""bark"" or ""park,"" you have to discriminate  the initial sound, or ___________________.",Phoneme,Morpheme,Syllable,Phonic,Differentiated emphasis,"Noam Chomsky used the term, ""universal grammar"" to  describe the innate language rules he suggested to explain language learning."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"Bill uses a ""rule of thumb"" when solving a maze quickly on an iPad app. He is using _____________________",A mental representation,An algorithm,A mental set,A heuristic,A shortcut,"A phoneme is the smallest structural unit of speech. This means  that it is the smallest unit of speech that affects what word you hear. Phonemes may not  possess meaning on their own, unlike morphemes, which represent the smallest unit of  meaningful sound."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"People tend to seek out and find more convincing evidence that is consistent with an  already-held view. This pattern, which can lead one astray, is known as what?",Hindsight bias,Actor-observer effect,Confirmation bias,Fundamental attribution error,Self-serving bias,"Bill's rule of thumb is a heuristic, which helps him reach a solution efficiently. Heuristics are distinguished from the less efficient (but more accurate)  algorithms. Heuristics are commonly thought of as ""shortcuts."""
xAP Psychology Practice Test 7 Language _ Cognition.txt,Which of the following is considered to be a possible cause of the misinformation effect?,Interference,Inadequate encoding,Priming,Proactive interference,Source confusion,"In a confirmation bias, we seek out information that confirms  our pre-held beliefs and ignore information that misaligns with those beliefs."
xAP Psychology Practice Test 7 Language _ Cognition.txt,You would be more likely to agree to a surgery with a 50% success rate than a 50% failure  rate. What psychological concept illustrates this concept?,Representative heuristic,Algorithms,Confirmation bias,Framing effect,Hindsight bias,"If an individual fails to discriminate whether a fact was part of  an original event or part of a subsequent discussion, he or she might be experiencing  confusion about the source of the event. This source confusion then leads to an inability  to accurately describe the original event in question."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"If you ask most Americans where they were when they learned about the 9/11 attack,  you will likely hear a vivid, detailed recollection. This is an example of a somewhat  controversial phenomenon called __________________.",Intentional memory creation,Encoding specificity,Flashbulb memory,Shock-induced selective attention,The Stroop effect,"Framing effects describe how the phrasing of a problem  influences the decision that is reached. In this case, even though the outcome is the same,  framing the surgery in a positive light using the word ""success"" results in a more  agreeable surgery than the same surgery described as failing 50% of the time."
xAP Psychology Practice Test 7 Language _ Cognition.txt,Interference theory and decay theory are contrasting ideas to explain what memory  process?,Encoding errors,Dreaming,Forgetting,Mental imagery,Prosopagnosia,"Some psychologists have hypothesized that the detail of  flashbulb memories are the result of a different brain system for emotional events, but  others argue that many of the details are inaccurate and the ability to easily recall these  events is more a result of retelling the story with some level of consistency over time  (rehearsal) instead."
xAP Psychology Practice Test 7 Language _ Cognition.txt,"Mary scores at the 87th percentile. In testing, this mean ______________________.:",13 percent of those taking the test were equal to her,87 percent of those taking the test were above her,87 percent of those taking the test were equal to or below her,13 percent of those taking the test were below her,She has met the cognitive label for an intellectual disability,"These are the two most prominent explanations of forgetting.  Decay theory suggests that memories are forgotten with mere passage of time, while  interference theory suggests that memories are only forgotten when displaced by new  memories."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,A starving rat will lose all interest in food if what part of its brain is destroyed?,Lateral hypothalamus,Lateral thalamus,Ventromedial thalamus,Ventromedial hypothalamus,Association areas,"There are two areas of the hypothalamus that control hunger,  the lateral hypothalamus and the ventromedial hypothalamus. The lateral hypothalamus,  when stimulated, causes the feeling of hunger. If the lateral hypothalamus is destroyed,  an organism will no longer experience the feeling of hunger. Destruction of the  ventromedial hypothalamus results in an ongoing feeling of hunger, even after eating."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,What is said to be a gauge of how we feel about ourselves as well as how socially  accepted we feel?,Self-esteem,Set point,Homeostasis,Reproductive potential,Belongingness measure,"Self-esteem is determined by a number of factors, the largest  of which is social acceptance. It is a person's evaluation of self worth."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,"According to the two-factor theory, the two basic components of emotions are  __________ and ____________.",Cognitive labels; physical arousal,Emotion-arousal; overt behavior,Facial expressions; cognitive labels,Emotion-arousing events; physical arousal,Attributions; psychological responses,"The Schachter-Singer theory, or two-factor theory of emotion,  describes emotion as a combination of 2 factors. According to the theory, emotion begins  with a physical arousal before the arousal is cognitively labeled."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,"About seven months ago, 15-year-old Katie went on a drastic weight-loss diet that caused  her to drop from 110 to 85 pounds. Although she is now dangerously underweight and  undernourished, she continues to think she looks fat. Katie most clearly suffers from what  psychological disorder?",Anorexia nervosa,Abnormally low set point,Bulimia nervosa,Hypermetabolism,Obesity,"While body posture, hand gestures, music and dance, and tone  of voice vary across different cultures and countries, facial expressions are universally  understood in their expression of emotion."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,"During an emergency, increased levels of emotional arousal are likely to be accompanied  by which of the following physiological symptoms?",Decreases in blood sugar levels.,Constriction of pupils to increase visual acuity.,Decreases in respiration rate.,Increases in salivation.,Slowing of digestion.,"Anorexia nervosa is a serious, potentially life-threatening eating  disorder characterized by self-starvation, excessive weight loss, fear of weight gain, an  extreme desire to be thin, and poor body image. Regardless of physical appearance,  sufferers of anorexia believe themselves to be overweight."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,Jack has just eaten a huge meal but gets the urge to eat when he smells fresh popcorn at  the movie theater. Psychologists would most likely consider Jack to be ___________________,suffering from bulimia nervosa.,an external eater.,morbidly obese.,suffering from reverse anorexia nervosa.,suffering from anorexia nervosa.,"When the sympathetic nervous system activates, commonly  called the 'fight-or-flight response,' it is accompanied by a number of physiological  manifestations, including the slowing of digestive processes, designed to help the  organism survive the emergency."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,"Leptin is a chemical secreted by fat cells and recognized in the brain as a signal of satiety.  It has been shown in laboratory experiments that if leptin receptors in the hypothalamus are blocked, then the animal will ______________________.",Avoid novel foods,Be unable to break down carbohydrates into glucose,Eat excessively and develop obesity,Gradually starve to death,Suffer from low blood sugar levels,An external eater is one who becomes motivated to eat after  being exposed to the sight or smell of food.
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,Which of the following concepts provides the best explanation for why people seek to put  on warmer clothing when they start to feel cold?,Self-serving bias,Set-point theory,Homeostasis,Assimilation,Accommodation,"If an animal has deficient levels of leptin, or if the brain fails to  recognize leptin, the negative feedback system that normally causes the animal to stop  eating will fail. As a result, the animal will eat excessively and is likely to develop obesity."
xAP Psychology Practice Test 8 Motivation _ Emotion.txt,A public awareness campaign that shows parents hitting a pillow instead of their child in  response to anger demonstrates an aggression theory known as __________________.,Rumination,Catharsis,Diffusion,Distraction,Reassociation,"Incentive theory is based on the idea that behavior is primarily  extrinsically motivated. It argues that people are more motivated to perform activities if  they receive a reward afterward, rather than simply because they enjoy the activities  themselves. In this case, Sabrina's good behavior is motivated, or incentivized, by the $20  reward for each good grade."
xAP Psychology Practice Test 9 Developmental Psychology.txt,"Although 3-year-old Austin happily explores the colorful toys located in the doctor's  office's waiting room, he periodically returns to his mother's side for brief moments.  Austin is most clearly displaying what?",Secure attachment,Conservation,Egocentrism,Avoidant attachment,Stranger anxiety,"A child who is mildly distressed in response to the absence of a  caregiver, but is still able to function without issue exhibits what is called secure  attachment. Children with secure attachment feel protected by their caregivers, and they  know that caregivers will always return after leaving them."
xAP Psychology Practice Test 9 Developmental Psychology.txt,"""I don't care whether you want to cut the grass, you will do so, because I said so!"" This  statement is most indicative of what type of parenting style?",Authoritarian,Authoritative,Laissez-faire,Preconventional,Conventional,"Authoritarian parenting is characterized by strict rules, harsh punishments, and little warmth. An authoritative parenting style, on the other hand, is  marked by a democratic, open, collaborative effort between parent and child."
xAP Psychology Practice Test 9 Developmental Psychology.txt,The process of developing a sense of identity during adolescence was highlighted by what  developmental theory?,Erikson's psychosocial development theory,Harlow's attachment theory,Kubler-Ross' stages of grief,Piaget's cognitive development theory,Kohlberg's moral development theory,"During adolescence (age 12 to 18 years), the transition from  childhood to adulthood is most important. Erikson describes the major conflict here as  Identity vs. Role Confusion. Children become more independent and begin to look at the  future in terms of career, relationships, families, and housing. The individual wants to  belong to and fit in with society."
xAP Psychology Practice Test 9 Developmental Psychology.txt,What is the last stage of a human fertilized egg?,Fetal stage,Embryonic stage,Germinal stage,Neonate,Spermic stage,"The final result of a human fertilized egg is a newborn baby, or  neonate. The 2nd to 4th weeks after fertilization mark the germinal stage. Weeks 4 to 8  are described as the embryonic stage. The last stage of fertilization is called the fetal  stage and lasts until the birth of the baby."
xAP Psychology Practice Test 9 Developmental Psychology.txt,Which of the following is not one of Piaget's stages of cognitive development?,Postoperational,Pre-operational,Concrete operational,Sensory and motor,Formal operational,"Piaget's stages of cognitive development are, in order: the  sensorimotor stage, the preoperational, the concrete operational stage, and lastly the  formal operational; the post operational stage is not one of Piaget's stages of cognitive  development."
xAP Psychology Practice Test 9 Developmental Psychology.txt,In what level of morality might a person have an internal set of values that may conflict  with societal values?,Postconventional morality,Preconventional morality,Conventional morality,Both A & B,Both B & C,"Kohlberg's model of morality begins with pre-conventional  morality, which is marked by egocentrism and a focus on the direct consequence of  actions. Conventional morality primarily entails a comparison with what society deems  morally acceptable. Postconventional morality consists of the individual's understanding  that rules are not absolute and that an individual's principles may supersede what society  deems acceptable. In the postconventional stage, individuals may find themselves in  conflict with societal values."
xAP Psychology Practice Test 9 Developmental Psychology.txt,"According to Freud, what is fixation?",Persistence of anachronistic sexual traits,Inability to move,The Oedipus Complex,Inability to move beyond a broken relationship,Seduction,Fixation refers to an individual who is stuck in a particular stage  of psychosexual development. It emerges in response to a lack of proper gratification  during an earlier stage of development.
xAP Psychology Practice Test 9 Developmental Psychology.txt,Research indicates that which factor may impact the development of sexual orientation?,Hormones during pregnancy,Being assaulted or molested as a child,Fear of the opposite sex,Left-handedness,Parenting styles,Research has shown a correlation between certain hormones  taken during pregnancy and the sexual orientation of the person that develops.
xAP Psychology Practice Test 9 Developmental Psychology.txt,Which of the following is most likely to be influenced by a culture's social clock?,Declining fluid intelligence,Being diagnosed with Parkinson's disease,Going through menopause,Giving birth to a first child,Prevalence of Schizophrenia within the culture,"Through the aging process, a natural reduction in the sensitivity  of senses can be expected."
xAP Psychology Practice Test 9 Developmental Psychology.txt,Which of the following kinds of development would be least affected by early life  experiences?,Motor development,Attachment development,Cognitive development,Moral development,Social development,"A social clock is a culturally specific timetable for particular  events to occur. In this case, the only non-biological event listed is choosing to have a  child. The time at which a couple decides to have a child is most likely to be influenced by  the surrounding culture."
xAP Psychology Practice Test 9 Developmental Psychology.txt,A second-grader develops the idea that all teachers are female because she only  encounters female teachers. This idea is an example of what psychological concept?,Temperament,Conservation,Formal operation,Convention,Schema,"Motor development refers to changes in a child's ability to  control his or her body's movements. In comparison with the other answer choices,  motor development is least affected by early life experiences because it occurs primarily  independently from external events."
xAP Psychology Practice Test 9 Developmental Psychology.txt,Which stage is considered the critical period during prenatal development?,Zygotic stage,Embryonic stage,Fetal stage,Germinal stage,Egg stage,A schema is used to organize categories of information and the  relationships among them in order to develop a working model of the surroundings.  These schemata can be used to draw conclusions.
xAP Psychology Practice Test 9 Developmental Psychology.txt,Experiments show that infants register the strongest preference for which one of the  following visual stimuli?,Animals,Bright colors,Geometric shapes,Plain colors,The human face,Rapid development occurs during the embryonic stage.  Anything that interferes with this development will have a major impact on the  developing embryo.
xAP Psychology Practice Test 9 Developmental Psychology.txt,Which play pattern is most prevalent among toddlers?,Solitary play,Associative play,Cooperative play,Facilitative play,Parallel play,Newborns show a distinct preference for the human face over  all other stimuli.
xAP Psychology Practice Test 9 Developmental Psychology.txt,Theories of human development have been most criticized for placing too much  emphasis on what?,Interaction of nature and nurture,Cognitive changes during adult development,Discrete age-linked stages,Maturation during adolescent development,Interpretations of observable behavior,"Beginning after a child's first birthday, children typically engage  in parallel play, that is, playing independently but alongside others."
xAP Psychology Practice Test 9 Developmental Psychology.txt,"Shelly is constantly seeking reassurance from her husband, Jack, concerning the stability  of their relationship. Shelly likely formed what kind of attachment to her mother as a  child?",Avoidant,Anxious/Ambivalent,Confused,Secure,All of these answers,Developmental stage theorists have been criticized for putting  age-links in the stages that may not take into account other developmental differences.
xAP Psychology Practice Test 9 Developmental Psychology.txt,In which of the following ways did Erikson's stage theory differ from Freud's?,Freud and Erikson both theorized about psychosocial and psychosexual development.,Freud covered the entire lifespan while Erikson only went through early adulthood.,Freud dealt with the Oedipus complex and Erikson dealt with the Electra complex.,"Freud theorized on psychosexual development, while Erikson theorized on  psychosocial development.","Freud theorized on psychosocial development, while Erikson theorized on  psychosexual development.","A child with an insecure attachment will avoid or ignore the  caregiver, showing little emotion when the mother departs or returns. The child will not  explore very much regardless of who is there. One manifestation of this kind of  attachment style is instability in future romantic relationships."
xAP Psychology Practice Test 9 Developmental Psychology.txt,Elderly people are not increasingly susceptible to __________________.,Pneumonia,Alzheimer's disease,Common cold viruses,Dementia,None of these answers; the elderly are more susceptible to each of these.,"These two theorists both dealt with the resolution of conflicts  at each developmental stage in their theories, but they focused on different  concepts—Freud focused on the psychosexual and Erikson focused on the psychosocial."
xAP Psychology Practice Test 9 Developmental Psychology.txt,Which sense is most dominant at birth?,Smell,Hearing,Taste,Touch,Vision,"As people age, they do not become more susceptible to  common cold viruses."
xAP Psychology Practice Test 9 Developmental Psychology.txt,Jacqueline has no meaningful occupational goals and has switched college majors several  times. Erikson would have suggested that Jacqueline lacks _______________________.,Autonomy,Competence,Identity,Initiative,Trust,Hearing is the most dominant sense at birth; this is because the  other senses are less developed.
xAP Psychology Practice Test 9 Developmental Psychology.txt,"From the perspective of Erik Erikson, why are life stages important?",Each signals a new stage of cognitive development.,Each involves a crisis or dilemma.,Each is an expression of biological programming.,Their failure to appear is evidence of psychopathology.,None of these answers.,"Jacqueline is grappling with identity versus role confusion,  which is the stage of adolescence in Erikson's theory most prominent from the ages of 12  to 18."
xAP Psychology Practice Test 9 Developmental Psychology.txt,"Cody, a 9-month-old, has learned that his Daddy has two legs, glasses, and is losing his  hair. One day at the grocery stores, while passing a bald man with glasses, Cody says,  ""Daddy!"" This is a case of _____________________.",Ebbinghaus' forgetting curve,Faulty imprinting,Over-generalizing,Representative heuristic,Semantic encoding,"At each of Erikson's stages, an individual grapples with the  resolution of a conflict. From birth to 12–18 months, the infant deals with trust vs.  mistrust. The child from 18 months to 3 years deals with autonomy vs. shame; the child  from 3 to 6 years old deals with initiative vs. guilt; then from 6 to 12 years old with  industry vs. inferiority. The adolescent from 12 to 18 struggles with identity vs. role  confusion; the young adult from 19 to 40 faces intimacy vs. isolation, and the adult faces  generativity vs. stagnation from 40 to 65. The final conflict is ego integrity vs. despair  from 65 until death."
xAP Psychology Practice Test 9 Developmental Psychology.txt,A newborn demonstrates the Babinski reflex. You would expect to see _____________________.,Head-turn toward a mild cheek stimulus,Eye-blink,Grasping in response to an object touching the hands or fingers,"Outstretched arms, legs, and crying",Toes stretched outward and upward in response to a sole-of-the-foot touch,"By calling the man in the grocery store ""Daddy"" because he has  similar characteristics to his own father, Cody is demonstrating the concept of  overgeneralizing. This is common in the early stages of a child's concept formation."
